m/z,Cont,Ex,Unnamed: 3,Dif,Y/N,Putative_Metabolites
365.124,0.77809673236907,0.399754068528161,,-0.378342663840909,,"[M+H]+: N-Acetylmuramoyl-Ala | Gibberellin A8 | Vernomygdin | Deacetylalacepril | (10S)-Juvenile hormone III diol phosphate | Sulfometuron methyl | 10-Hydroxycamptothecin | Justicidin B | Pyridaben | Zexbrevi || [M+Na]+: beta-Maltose | Nigerose | beta-1,2-Mannobiose | 4',5,6,7-Tetramethoxyflavone | Magnoflorine | Deoxymiroestrol | alpha-Cellobiose | Epimelibiose | Melibiulose | Coniferin | Mannobiose | alpha,alpha-Tre"
332.345,0.359718699901933,0.110005522170995,,-0.2497131777309379,,No matches in KEGG
284.344,0.440134180837551,0.243154073255975,,-0.196980107581576,,[M+H]+: Octadecanamide
217.056,0.0,0.154063715162459,,0.154063715162459,Ex,"[M+H]+: 1,2-Dihydroxydibenzothiophene | 2-C-Methyl-D-erythritol 4-phosphate | 3-Phospho-D-erythronate | 3-Diazoavenalumate | Terbacil | Salithion | Isobergapten | 4-Phospho-D-threonate | Benzo[b]fluorene | Sp || [M+Na]+: D-Glucuronate | L-Guluronic acid | Methyl beta-D-galactoside | 9-Hydroxyphenanthrene | 6,7,8-Trihydroxycoumarin | 6-Hydroxymellein | Zingerone | Kakuol | 5-Dehydro-D-gluconate | 6-O-Methyl-myo-inosito"
455.2,0.12624392614,0.0,,-0.12624392614,Cont,[M+H]+: beta-Funaltrexamine | Tetrahydrogeranylgeranyl diphosphate | Ribostamycin | Methotrexate | I-123 BMIPP | 3''-Amino-3''-deoxygentamicin A2 | Xylostasin | Obacunone || [M+Na]+: Magnosalicin | Inflexin | Zizybeoside I | Salvinorin A | Aspulvinone H | Usambarensine | Schizandrin | Buclizine | Grandisin
304.312,0.181856908182602,0.064468631065949,,-0.117388277116653,,[M+H]+: Fenpropimorph
333.349,0.10267212972884,0.0,,-0.10267212972884,Cont,No matches in KEGG
360.379,0.098002771632178,0.0,,-0.098002771632178,Cont,No matches in KEGG
509.453,0.0,0.09252781902783,,0.09252781902783,Ex,No matches in KEGG
725.316,0.090137033189345,0.0,,-0.090137033189345,Cont,[M+H]+: Hellebrin || [M+Na]+: Taccalonolide A | Bisibuthiamine
337.124,0.087132167892143,0.0,,-0.087132167892143,Cont,"[M+H]+: Firocoxib | Berberine | Psoralidin | NMNH | Steroid O-sulfate | 5-O-Caffeoylshikimic acid | Fenbuconazole | Sojagol | 3-Epihydroxymugineic acid | Altersolanol A | Heterocladol | 4,4'-Stilbenedicarboxa || [M+Na]+: WIN VI | Heliettin | N-Acetylthienamycin | 8-Geranylesculetin | Pyraclonil | Magnocurarine | Triazamate | Epithienamycin A | 2,3-Dehydro-gibberellin A9 | Epithienamycin C | Lotusine | 1,3-Dibenzyltetr"
359.081,0.085938410157322,0.0,,-0.085938410157322,Cont,"[M+H]+: L791456 | Chryso-obtusin | Cellobionate | Lactobionate | SC-1271 | Miraxanthin-I | Versiconal | Pantetheine 4'-phosphate | Gardenin B | Coumeroic acid | N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenz || [M+Na]+: Tetracenomycin D1 | Firocoxib | Berberine | Psoralidin | NMNH | Dicumarol | Steroid O-sulfate | 5-O-Caffeoylshikimic acid | 2,2-Bis(4-hydroxyphenyl)hexafluoropropane | Fenbuconazole | Nicotinate D-rib"
273.085,0.084902094479981,0.0,,-0.084902094479981,Cont,"[M+H]+: Thienamycin | Deoxyshikonin | Butein | 7,12-Dimethylbenz[a]anthracene 5,6-oxide | 3,6,9-Trihydroxypterocarpan | Naringenin | p-Coumaroyltriacetic acid lactone | 6,7,4'-Trihydroxyflavanone | 5-epi-Vali || [M+Na]+: 4,4'-Methylenediphenyl diisocyanate | (S)-5-Deoxyindenestrol | 2-(5'-Methylthio)pentylmalic acid | Methaqualone | (S)-4'-Deoxyindenestrol | (R)-5-Deoxyindenestrol | Arborine | Di-n-propylphthalate | H"
505.357,0.07848628212825,0.0,,-0.07848628212825,Cont,"[M+H]+: Eudesobovatol A | Eudesobovatol B || [M+Na]+: 4'-Apo-beta,psi-caroten-4'-al"
499.188,0.075423244377471,0.0,,-0.075423244377471,Cont,[M+H]+: Strictosamide | Iridodial glucoside tetraacetate | 8-Epiiridodial glucoside tetraacetate || [M+Na]+: all-trans-Retinoyl-beta-glucuronide | Loperamide | 2-Methoxyestrone 3-glucuronide | Calcium pantothenate | Kanokoside A
563.399,0.072873125451865,0.0,,-0.072873125451865,Cont,"[M+H]+: Rhodoxanthin | Baliospermin | 3-Hexaprenyl-4,5-dihydroxybenzoate || [M+Na]+: Dihydromethanophenazine"
576.259,0.072571785156982,0.0,,-0.072571785156982,Cont,[M+H]+: Zafirlukast
449.379,0.071520877856863,0.0,,-0.071520877856863,Cont,"[M+H]+: Teasterone | Typhasterol || [M+Na]+: Isoarborinol | 4alpha-Formylergosta-7,24(24(1))-dien-3beta-ol | Camelliol C | Obtusifoliol | Baruol | (S)-2,3-Epoxysqualene | Thalianol | Gorgosterol | Protostadienol | beta-seco-Amyrin | Isomultiflor"
867.272,0.0,0.071496035558266,,0.071496035558266,Ex,[M+Na]+: Scabraside
883.595,0.069592338777121,0.0,,-0.069592338777121,Cont,[M+H]+: Thermocryptoxanthin-11 | omega-Sulfo-beta-dihydromenaquinone-9
366.124,0.13753046874424,0.0690665997674,,-0.06846386897684,,"[M+H]+: Cefroxadine | N-Acetylbialaphos | 2-S-Glutathionyl acetate | 6-Methylpretetramide | Cephalexin monohydrate | Amoxicillin | CGP 28-392 || [M+Na]+: Clemastine | Violacein | Coenzyme B | Laudanine | (S)-Tetrahydropapaverine | (-)-Laudanidine | Acrinol | 3-Hydroxyestra-1,3,5(10)-trien-17-one O-(carboxymethyl)oxime | DIBOA-glucoside | (S)-Laudanine"
459.209,0.066618131410758,0.0,,-0.066618131410758,Cont,"[M+H]+: Cinobufotalin | Fumagillin | Astemizole | Hellebrigenin 3-acetate || [M+Na]+: Stearoylglycerone phosphate | 11beta,16alpha,17alpha,21-Tetrahydroxy-9alpha-fluoropregn-4-ene-3,20-dione 16,17-acetonide | 9-Fluoro-11beta,17,21-trihydroxy-2alpha-methylpregn-4-ene-3,20-dione 21-aceta"
347.109,0.138091159611009,0.072547803621973,,-0.065543355989036,,"[M+H]+: Aflatoxin B1 diol | (6R)-2-Acetyl-6-(3-acetyl-2,4,6-trihydroxy-5-methylphenyl)-3-hydroxy-6-methyl-2,4-cyclohexadien-1-one | Strigol | Ponalactone A | Oryzalin | Aucubin | Gibberellin A34-catabolite |  || [M+Na]+: Acetohexamide | Otobain | 2,3-Dehydro-UWM6 | Isobavachalcone | HMR1556 | Mycocyclosin | Portulacaxanthin I | Citalopram | Levofuraltadone | (-)-Phaseollinisoflavan | Glabridin | Oxyphenbutazone | alph"
389.269,0.121995280230951,0.056632813110609,,-0.065362467120342,,"[M+H]+: 6beta,17beta-Dihydroxyandrost-4-en-3-one diacetate | 2alpha-Methyl-17beta-[(tetrahydro-2H-pyran-2-yl)oxy]-5alpha-androstan-3-one | 11alpha,17beta-Dihydroxyandrost-4-en-3-one diacetate | 11beta,21-Dihy || [M+Na]+: Cortolone | Ohmefentanyl | Urocortisol | Bepridil | Fumigaclavine C | 2alpha,3alpha-(Difluoromethylene)-5alpha-androstan-17beta-ol acetate"
307.165,0.064423178792784,0.0,,-0.064423178792784,Cont,"[M+H]+: Ovatifolin | Pyrethrosin | Compactin diol lactone | (1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-Tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol | Capsiate | Viscidulin B | Matricin  || [M+Na]+: Allogibberic acid | 4,4-Bis(4-hydroxyphenyl)heptane | 16-Ketoestrone | 9-cis-Retinal | 17,17-Dimethyl-18-norandrosta-4,13-dien-3-one | Promethazine | Hexestrol monomethyl ether | (10S)-Juvenile hormon"
367.133,0.064038324741998,0.0,,-0.064038324741998,Cont,"[M+H]+: Apodine | 1alpha,5alpha-Epidithio-17a-oxa-D-homoandrostan-3,17-dione | Diacetoxyscirpenol | Atovaquone | Orizabin | Glycyrol | Dehydrocorydaline || [M+Na]+: 4',5,6,7-Tetramethoxyflavanone | Melibiitol | 8-Epiiridotrial glucoside | Deoxyelephantopin | Iridotrial glucoside | Clotrimazole | (S)-Tembetarine | Calaxin | Echinone | TRAM-34 | (-)TAN-67 | p-Methy"
703.33,0.063690881128336,0.0,,-0.063690881128336,Cont,[M+H]+: Taccalonolide A | Bisibuthiamine
613.275,0.061945707521011,0.0,,-0.061945707521011,Cont,[M+H]+: Divinyl chlorophyllide a | Novobiocin | Protochlorophyllide | 13(1)-Oxo-magnesium-protoporphyrin IX 13-monomethyl ester || [M+Na]+: Urobilin | D-Urobilinogen
687.207,0.0,0.060323701869211,,0.060323701869211,Ex,No matches in KEGG
447.314,0.11563434169467,0.056806592190121,,-0.058827749504549,,"[M+H]+: N8,N'8-Citryl-bis(spermidine) | Di-n-decyl phthalate | 3-Dehydro-2-deoxyecdysone | 3-Dehydroteasterone | Diisodecyl phthalate | Stylisterol B || [M+Na]+: alpha-Phocaecholic acid | Cycloeucalenone | 4,4'-Methylenebis(2,6-di-tert-butylphenol) | alpha-Tocotrienol | Lupenone | Glutinone"
555.239,0.058178662778672,0.0,,-0.058178662778672,Cont,[M+H]+: Lappaol C | Toonacilin | Osthenol-7-O-beta-D-gentiobioside | Pantethine || [M+Na]+: Roridin A | Calactin | Calotropin | Triamcinolone hexacetonide | 12alpha-Hydroxyamoorstatin
481.321,0.058149557148129,0.0,,-0.058149557148129,Cont,"[M+H]+: Ajugasterone C | Emetine | Pterosterone | 24-epi-Brassinolide | Callinecdysone A | Brassinolide | 26-Hydroxycastasterone | Inokosterone | 20-Hydroxyecdysone | Borreverine | 26-Hydroxyecdysone || [M+Na]+: Soyasapogenol B | 19,25-Dihydroxycucurbitadienol | Soyasapogenol F"
305.097,0.056310236527877,0.0,,-0.056310236527877,Cont,"[M+H]+: Ceceline | Dihydrokalafungin dihydroquinone form | Imicyafos | Tetrangulol | Diazinon | N-Acetylaspartylglutamate | Medphalan | Taxifolin | 6-Methoxy-alpha-pyrufuran | Merphalan | (S)-Chiral alcohol | || [M+Na]+: Agrostophyllin | Niflumic acid | N-(p-Nitrobenzyl)phthalimide | 2,3-Diphenyl-1-indanone | 8-Oxocoformycin | beta-L-Arabinofuranosyl-(1->2)-beta-L-arabinofuranose | 4,4'-Diaminostilbene dihydrochloride"
711.334,0.056017084617053,0.0,,-0.056017084617053,Cont,"[M+H]+: k-Strophanthin-beta | Boivinide A | Nudicauline | Atractyloside H || [M+Na]+: Callichiline | 2-O-Sulfo-2'-stearoyl-alpha,alpha-trehalose"
995.342,0.0,0.05570513949498,,0.05570513949498,Ex,[M+Na]+: Anabaenopeptilide 90B | Landomycin B
597.287,0.055247143670437,0.0,,-0.055247143670437,Cont,[M+H]+: Salannin | Guattegaumerine | Berbamunine | Magnoline || [M+Na]+: Asclepin | Herbimycin | Cucurbitacin A
654.277,0.054864889722647,0.0,,-0.054864889722647,Cont,"[M+H]+: Bromocriptine | Rifamycin W-hemiacetal || [M+Na]+: N1,N5,N10-Tricaffeoyl spermidine | Mesaconitine"
1217.427,0.0,0.054770863978046,,0.054770863978046,Ex,No matches in KEGG
